Cluster ID,confidence_score,Id,ln,dob,gn,fn,canonical_ln,canonical_dob,canonical_Id,canonical_fn,canonical_gn
0,0.951763,3,SALTER JR,01-03-68,F,WILLIAM,salter jr,01-03-68,3,william,f
0,0.951763,4,SALTER JR,01-03-68,F,WILLIAM,salter jr,01-03-68,3,william,f
1,0.921858609,5,BLAND JR,21-02-62,F,WILLIAM,bland jr,21-02-62,11,william,f
1,0.921858609,6,BLAND JR,21-02-62,F,WILLIAM,bland jr,21-02-62,11,william,f
1,0.921858609,7,BLAND JR,21-02-62,F,WILLIAM,bland jr,21-02-62,11,william,f
1,0.813775885,11,BLAND JR,21-02-62,F,BILL,bland jr,21-02-62,11,william,f
1,0.889983666,12,BLAND,21-02-62,F,WILLIAM,bland jr,21-02-62,11,william,f
1,0.921858609,13,BLAND JR,21-02-62,F,WILLIAM,bland jr,21-02-62,11,william,f
2,0.951763,8,SHAFFER JR,21-02-62,F,WILLIAM,shaffer jr,21-02-62,8,william,f
2,0.951763,9,SHAFFER JR,21-02-62,F,WILLIAM,shaffer jr,21-02-62,8,william,f
3,0.951763,14,BLAND JR,08-06-54,F,WILLIAM,bland jr,08-06-54,14,william,f
3,0.951763,15,BLAND JR,08-06-54,F,WILLIAM,bland jr,08-06-54,14,william,f
4,0.951763,16,BLAND JR,25-10-53,F,WILLIAM,bland jr,25-10-53,16,william,f
4,0.951763,17,BLAND JR,25-10-53,F,WILLIAM,bland jr,25-10-53,16,william,f
5,0.182794,19,DUNCAN JR,25-10-53,F,THOMAS,duncan jr,25-10-53,19,thomas,f
5,0.182794,22,DUNCAN JR,25-10-53,F,ROY,duncan jr,25-10-53,19,thomas,f
6,0.712312,20,CARLSON JR,25-10-53,F,ROY,carlson jr,25-10-53,20,roy,f
6,0.712312,21,CARLSON JR,25-10-53,F,RON,carlson jr,25-10-53,20,roy,f
7,0.942470908,23,MICHAELSON,25-10-53,M,ROY,michaelson,25-10-53,23,roy,m
7,0.942470908,24,MICHAELSON JR,25-10-53,M,ROY,michaelson,25-10-53,23,roy,m
7,0.942470908,25,MICHAELSON,25-10-53,M,ROY,michaelson,25-10-53,23,roy,m
7,0.942470908,26,MICHAELSON JR,25-10-53,M,ROY,michaelson,25-10-53,23,roy,m
8,0.951763,28,MICHAELSON JR,17-06-48,M,ROY,michaelson jr,17-06-48,28,roy,m
8,0.951763,29,MICHAELSON JR,17-06-48,M,ROY,michaelson jr,17-06-48,28,roy,m
9,0.780718327,30,MICHAELSON JR,09-04-47,M,ROY,michaelson jr,09-04-47,30,roy,m
9,0.780718327,31,MICHAELSON JR,09-04-47,M,ROBERT,michaelson jr,09-04-47,30,roy,m
10,0.806203,33,MUSTAPHA JR,11-03-47,M,OWEN,mustapha jr,11-03-47,33,owen,m
10,0.806203,34,MUSTAPHA JR,11-03-47,M,OWAN,mustapha jr,11-03-47,33,owen,m
11,0.951762557,35,HOUGHTON JR,31-01-46,M,LAWRENCE,houghton jr,31-01-46,35,lawrence,m
11,0.951762557,36,HOUGHTON JR,31-01-46,M,LAWRENCE,houghton jr,31-01-46,35,lawrence,m
11,0.951762557,37,HOUGHTON JR,31-01-46,M,LAWRENCE,houghton jr,31-01-46,35,lawrence,m
12,0.951762557,38,LIND JR,31-01-46,M,LAWRENCE,lind jr,31-01-46,38,lawrence,m
12,0.951762557,39,LIND JR,31-01-46,M,LAWRENCE,lind jr,31-01-46,38,lawrence,m
13,0.951762557,40,LIND JR,31-01-46,M,KENNETH,lind jr,31-01-46,40,kenneth,m
13,0.951762557,41,LIND JR,31-01-46,M,KENNETH,lind jr,31-01-46,40,kenneth,m
14,0.874836,45,CLARK,09-02-45,M,RONALD,clark,09-02-45,45,ronald,m
14,0.874836,46,CLARK,09-02-45,M,DONALD,clark,09-02-45,45,ronald,m
15,0.924632549,47,CLARK,16-12-44,M,JOHN,clark jr,16-12-44,47,john,m
15,0.938197553,48,CLARK JR,16-12-44,M,JOHN,clark jr,16-12-44,47,john,m
15,0.938197553,49,CLARK JR,16-12-44,M,JOHN,clark jr,16-12-44,47,john,m
16,0.951762557,50,MICHAELSON JR,16-12-44,M,JOHN,michaelson jr,16-12-44,50,john,m
16,0.951762557,51,MICHAELSON JR,16-12-44,M,JOHN,michaelson jr,16-12-44,50,john,m
16,0.951762557,52,MICHAELSON JR,16-12-44,M,JOHN,michaelson jr,16-12-44,50,john,m
17,0.951763,53,MICHAELSON JR,24-04-40,M,JOHN,michaelson jr,24-04-40,53,john,m
17,0.951763,54,MICHAELSON JR,24-04-40,M,JOHN,michaelson jr,24-04-40,53,john,m
18,0.951762557,55,MICHAELSON JR,24-06-39,M,JOHN,michaelson jr,24-06-39,55,john,m
18,0.951762557,56,MICHAELSON JR,24-06-39,M,JOHN,michaelson jr,24-06-39,55,john,m
18,0.951762557,57,MICHAELSON JR,24-06-39,M,JOHN,michaelson jr,24-06-39,55,john,m
19,0.72462368,58,MICHAELSON JR,24-06-39,M,JAMES,michaelson jr,24-06-39,58,james,m
19,0.72462368,59,MICHAELSON JR,24-06-39,M,JAMES,michaelson jr,24-06-39,58,james,m
19,0.497484803,60,MICHAELSON JR,24-06-39,M,JACK,michaelson jr,24-06-39,58,james,m
20,0.951763,62,LARSON JR,09-06-39,M,HAROLD,larson jr,09-06-39,62,harold,m
20,0.951763,63,LARSON JR,09-06-39,M,HAROLD,larson jr,09-06-39,62,harold,m
21,0.951762557,66,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
21,0.951762557,67,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
21,0.951762557,68,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
21,0.951762557,69,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
21,0.951762557,70,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
